,Label,ViralCentrality,importance
206,YaarDabestaani,752.0837572107894,17.562345
925,M005h00,723.9092550156291,9.329987
1006,H3ngam3h_h,578.935720792429,15.079839
0,HiwaTube,492.2974211551813,18.976252
684,hamiparvane,437.76024376016125,9.214519
154,agha_rashti2,341.55719828463714,19.065321
2123,azaadiiyeiraan7,204.94726907430623,11.209671
2714,farcrit,167.8851361400903,11.368879
1661,mobarez_nastooh,153.06060884236803,12.08066
260,VidaSarafraz,151.83899835370974,17.375645
2967,IspahbadhSina,87.03161028156757,12.401562
1422,5arhang,80.18870157846612,5.722877
1154,Walterakam,62.522713661164175,16.946651
831,cryptosamz,30.029035459883936,14.187104
1056,Redrighthand89,14.000857533559916,4.437212
76,IDFFarsi,7.783640596221253,14.245029
1630,tannaz13131313,6.55250788703459,12.346663
67,HananyaPersian,3.8918202981106265,13.793855
2055,pedarjun,0.0,1.0
2302,NaeimehDoustdar,0.0,1.0
2054,sunshine_h2018,0.0,1.0
2057,crozwalk,0.0,1.0
2053,2Ubbe,0.0,1.0
2052,bbln2024,0.0,1.0
2056,Sooresrafill,0.0,1.0
2061,NarrehKhar,0.0,1.0
2058,KhdyjK,0.0,1.0
2059,AliEbrahimzade_,0.0,1.0
2060,Maarjaun,0.0,1.0
2050,MahsaMalke34036,0.0,1.0
2062,shahrad55,0.0,1.0
2063,mobarazan57,0.0,1.0
2064,Mima_kapa,0.0,1.0
2065,Simorgh_News,0.0,1.0
2066,Krawallstein,0.0,1.0
2051,faryaddarkhafa1,0.0,1.0
2046,Azadeh_Afsahi,0.0,1.0
2049,ToukaNeyestani,0.0,1.0
2048,RanaDadpour,0.0,1.0
2029,IRN_GRL,0.0,1.0
2030,ShamgahEtemad,0.0,1.0
2031,JessieTheJudas,0.0,1.0
2032,Hasti_805,0.0,1.0
2033,ZZANewspaper,0.0,1.0
2034,mid141414,0.0,1.0
2035,sona02023,0.0,1.0
2036,Leo_mahiw,0.0,1.0
2037,ZakMountain1,0.0,1.0
2038,PrkKian,0.0,1.0
2039,iranintlsport,0.0,1.0
2040,arghavan402,0.0,1.0
2041,_SC82,0.0,1.0
2042,Ghazalam23,0.0,1.0
2043,SedayeShahrivar,0.0,1.0
2044,HVerkiany,0.0,1.0
2045,dHorsemanDeath,0.0,1.0
2068,VATANDOOST54,0.0,1.0
2047,swrs22974409,0.0,1.0
2067,DrStrangeIR,0.0,1.0
2070,sickfullllll,0.0,1.0
2069,fariba312,0.0,1.0
2027,Gerogan_57,0.0,1.0
2094,Mehr_mihan,0.0,1.0
2095,m4tinbeigi,0.0,1.0
2096,shobin1414,0.0,1.0
2097,HelenArjad,0.0,1.0
2098,N_I_E_N_T_E,0.0,1.0
2099,hadimehrane1,0.0,1.0
2100,euronews_pe,0.0,1.0
2101,USABehFarsi,0.0,1.0
2102,arsham_rezaee,0.0,1.0
2103,Rtaghizade,0.0,1.0
2104,SundayFutures,0.0,1.0
2105,wilson293364,0.0,1.0
2106,Nemo_Regnum,0.0,1.0
2107,Parinaz_ETSM,0.0,1.0
2108,hasanakevazir2,0.0,1.0
2109,KFravahar,0.0,1.0
2110,ADabestany,0.0,1.0
2111,Air0fFreedom,0.0,1.0
2112,etelaf10,0.0,1.0
2113,DrMRReza,0.0,1.0
2306,daryadarya2023,0.0,1.0
2093,Phoenixtrojan,0.0,1.0
2092,nasim_khoshdel,0.0,1.0
2091,emamjamkaroon,0.0,1.0
2080,ErfanSabeti,0.0,1.0
2071,scharminn,0.0,1.0
2072,MuradyDiako,0.0,1.0
2073,Abraham_jfz,0.0,1.0
2074,ivannkaramazof,0.0,1.0
2075,g_o_ldilocksir2,0.0,1.0
2076,modire_jang,0.0,1.0
2077,GolbargHaghgoo,0.0,1.0
2078,JaneBasiji_Ga,0.0,1.0
2079,arashcml,0.0,1.0
2081,truecoopspapa,0.0,1.0
2090,geraldpersian,0.0,1.0
2082,arash_shojaiann,0.0,1.0
2307,rezaraul7,0.0,1.0
2083,anticharandiat,0.0,1.0
2084,Afshar070239441,0.0,1.0
2085,ToomajSale53904,0.0,1.0
2086,BobChester666,0.0,1.0
2087,aryammehr3,0.0,1.0
2088,SeyedArmani,0.0,1.0
2089,baramosaa,0.0,1.0
2028,estemnayi1,0.0,1.0
2024,Azadlavasani,0.0,1.0
2026,siyahosefid990,0.0,1.0
1967,ACTBrigitte,0.0,1.0
1958,GNforWLF,0.0,1.0
1959,Pantea_t1,0.0,1.0
1960,golli_nmrk,0.0,1.0
1961,persianjewess,0.0,1.0
1962,StandWithUs,0.0,1.0
1963,iranhrs_en,0.0,1.0
1964,Aliberalbot,0.0,1.0
1965,KevinVuongMP,0.0,1.0
1966,SenMarcoRubio,0.0,1.0
1968,Avajahangiri,0.0,1.0
1956,OzraeliAvi,0.0,1.0
1969,IndexCensorship,0.0,1.0
1970,jack,0.0,1.0
1971,talhagin,0.0,1.0
1972,Vahid,0.0,1.0
1973,imrnamas,0.0,1.0
1974,caoilfhionnanna,0.0,1.0
1975,nationalpost,0.0,1.0
1976,amnestyitalia,0.0,1.0
1977,avraham_nir,0.0,1.0
1957,JJToji,0.0,1.0
1955,mamduamiri94,0.0,1.0
2025,IsraelArabic,0.0,1.0
