Id,Cluster
12,0
764537,0
788524,0
790728,13
1367531,9
2172631,11
4782551,17
5402612,0
5941722,0
6135642,0
6890412,18
7587032,0
8161232,0
11744152,0
11790882,11
12193402,11
13218102,6
13382052,0
14077382,0
14092789,11
14216661,0
14569869,0
14600723,11
14713427,11
15143478,0
15212187,11
15669672,11
15745368,0
15912890,11
15930061,11
16102208,11
16192197,0
16274802,0
16314859,0
16465385,11
16523905,14
16671007,11
16705767,0
16912915,14
17005368,11
17061263,0
17062358,0
17068970,11
17469289,18
17783532,17
17814635,11
17877490,11
18055418,0
18086120,0
18213483,0
18216618,18
18300931,1
18336608,14
18409325,14
18576537,18
18760840,0
18809354,11
19002586,4
19017675,0
19338927,11
19341389,0
19489239,18
19636350,12
19863176,0
19899606,11
19919875,11
20668842,1
20711586,0
21439144,11
21614316,11
21866939,0
22434517,0
22495731,0
22703645,6
23231946,6
23446898,6
25033880,12
25073877,8
25227444,0
25508510,11
25667195,0
27955781,0
28066831,0
28096877,11
28299819,6
28428829,11
28492660,11
29016548,0
30216513,0
31064165,11
33608041,11
34209496,11
34332516,4
34361668,17
34367582,6
34476263,11
34686274,11
35051819,0
35067843,11
35678871,11
36992738,9
37196329,0
37241514,0
37413528,0
37535548,0
37729540,0
38154763,12
38220732,1
38385927,11
38506813,11
40501660,1
40535534,4
41084386,0
41370439,0
41778159,18
43051330,12
43510607,0
44196397,18
45167431,12
45227065,11
45243719,14
46287159,4
46482865,11
46628064,11
46919036,0
47126544,11
47133511,11
47214407,0
47399105,1
47421258,0
47448563,0
47481067,1
47536841,1
47635420,0
47696206,0
47705769,12
47722134,0
47731642,1
47737851,17
47749263,0
47776285,1
47828347,11
47891723,0
47927277,0
48010302,0
48113576,0
48177630,11
48187231,10
48209591,14
48252327,6
48257148,0
48534361,11
48643614,0
48765219,11
48865797,0
49050185,1
49127938,14
49258147,17
49315363,11
49384084,18
49426717,1
49506513,0
49554665,11
49557520,11
49592004,0
50299231,11
50415433,11
50487904,8
50516018,1
50599149,4
50635701,1
50998739,11
51244775,4
51434437,12
51483738,11
51484630,0
52425236,11
52444859,0
52660746,6
52787936,1
53341507,1
53830530,11
54301390,0
54631666,1
54700101,14
56356173,4
56782682,0
57291646,0
57730041,0
58271532,11
60066557,12
61047667,8
62855930,12
63273943,0
65473297,8
66475556,11
66967746,0
73387846,11
73937639,18
74453123,0
75055396,11
75343905,0
75861029,1
76172541,11
76288120,11
78523300,11
82576359,0
83148068,11
83435676,0
83733620,1
87474763,11
87818409,0
88389777,17
91242401,0
91416107,0
93249858,4
95092020,11
95521017,0
96951983,1
97054224,0
97320648,0
97323571,0
97523590,12
97650151,17
97914276,0
100798716,0
103065157,0
104228543,0
104256824,0
106492441,11
110482636,18
112684779,0
113480647,6
114060003,11
116502194,0
116579971,6
118756393,14
131538331,0
135962891,4
136607541,0
138632648,11
139879462,12
140051163,0
141084952,18
142230509,0
142772512,6
143373762,12
150750678,6
157376427,15
157644107,6
160940788,11
162703340,6
167307876,6
168176682,11
169179541,6
169871593,17
171200086,6
173247574,6
181198159,12
186037135,0
187214305,11
187615843,12
191167764,11
195853497,0
196952741,4
198324192,8
199325291,0
200610477,0
201712307,14
204930520,0
206427431,8
208488600,11
214908555,6
216299334,0
218813393,11
219819371,12
222187991,0
226928166,10
228855988,0
229966028,0
231069949,0
231653036,18
233250618,5
237695510,4
241204643,11
249916079,0
251633354,13
253420850,11
254086746,4
255040592,11
255073754,0
255123190,0
255386398,0
256221937,0
259772575,0
263357100,15
272729455,17
279032698,0
279454590,18
282324916,1
282659328,14
283386225,11
292852230,11
292929271,6
296021844,0
296625287,0
299180876,17
299416026,0
306132454,11
307063886,11
307297819,11
307548068,0
308991012,0
311724429,14
313890182,0
317177251,1
318492642,0
318653354,4
320191210,11
323444570,11
324919871,11
325629203,11
328106613,11
329600358,11
